DATASET	TOKENIZER	NOISE_TYPE	NOISE_LVL	N_SENTS	MIN_TOKS_PER_SENT	MAX_TPS	MEAN_TPS	STD_TPS	MEAN+STD	MEAN+1.5STD	MEAN+2STD	SAMPLE_SENTENCE
../datasets/train_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	-	-	15696	1.0	105.0	17.803962793068298	11.104888083278581	28.90885087634688	34.461294917986166	40.01373895962546	Lam og pigg ##var på bryllups ##menyen
../datasets/train_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.15	15696	1.0	114.6	19.44881498470948	12.210251260864595	31.659066245574074	37.76419187600637	43.86931750643867	Lam og [UNK] pigg ##var på bryllups ##menyen
../datasets/train_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.35	15696	1.0	128.2	21.635512232415902	13.685056922905355	35.32056915532126	42.16309761677394	49.00562607822661	s ##La ##m og pigg ##vr på bryllups ##menyen
../datasets/train_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.55	15696	1.0	140.4	23.850790010193677	15.125006878862319	38.975796889056	46.53830032848715	54.100803767918315	Lam o ##og pigg ##var [UNK] b [UNK] ry ##llups ##menyen
../datasets/train_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.75	15696	1.0	157.4	26.002471967380224	16.564448707537604	42.566920674917824	50.84914502868663	59.13136938245543	[UNK] [UNK] pigg ##rv ##ar på [UNK]
../datasets/train_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.95	15696	1.0	171.2	28.207721712538223	17.96518372675386	46.17290543929208	55.15549730266901	64.13808916604594	Lam ##6 [UNK] g pigg ##v ##2 ##r å bry ##ll ##ps ##menyen
../datasets/dev_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	-	-	2409	1.0	100.0	17.304275633042757	11.357359205376854	28.66163483841961	34.340314441108035	40.01899404379647	Dommer Finn Eilertsen avstå ##r , selvfølgelig bevisst , fra å [UNK] sette ord på [UNK] det inntrykk retten for sitt vedkommende måtte ha dannet seg av de handlinger retten finner bevist og av lov ##overt ##reder ##en .
../datasets/dev_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.15	2409	1.0	108.6	18.89771689497717	12.492617799898879	31.390334694876046	37.636643594825486	43.882952494774926	Dommer Finn Eilertsen avstå ##r , selvfølgelig bevisst , fra å [UNK] sette ord åp ##å [UNK] det inntrykk retten for sitt vedkommende måtte ha dannet se v de handlinger retten finner bevist o [ av lov ##overt ##reder ##en .
../datasets/dev_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.35	2409	1.0	114.8	21.007222914072226	13.952094144010635	34.95931705808286	41.935364130088175	48.9114112020935	Dommer [UNK] Finn Eilertsen avstå ##r , selvfølgelig bevisst , fra å [UNK] sette ord [UNK] [UNK] [UNK] inn ##rykk retten for sitt vedkommende D ##må ##tte h [UNK] a dannet seg av ##i [ e handlinger retten fi [UNK] ner b ##vist og av lov ##overt ##reder ##en .
../datasets/dev_NDT-NOB_UPOS.tsv	ltgoslo/norbert2	add_random_noise	0.55	2409	1.4	129.6	23.183727687837276	15.40120221702396	38.584929904861234	46.285531013373216	53.98613212188519	Dom ##er Finn Eilertsen avt ##år , selvfølgelig å ##ev ##iss ##t , fra [UNK] [UNK] sette ord ##D på [UNK] [UNK] det inntrykk rt ##ten [UNK] sitt [UNK] måtte ##S [UNK] dannet s / g av [UNK] e handlinger retten finner bevist og ac lov ##overt ##rd ##eren .
