DATASET	TOKENIZER	NOISE_TYPE	NOISE_LVL	N_SENTS	MIN_TOKS_PER_SENT	MAX_TPS	MEAN_TPS	STD_TPS	MEAN+STD	MEAN+1.5STD	MEAN+2STD	SAMPLE_SENTENCE
../datasets/train_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	-	-	6075	1.0	549.0	53.253991769547326	39.63673544608559	92.89072721563292	112.7090949386757	132.52746266171852	برلين ترفض حصول شرك +ة أميركي +ة على رخص +ة تصنيع دباب +ة " ليوبارد " ال+ ألماني +ة
../datasets/train_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.15	6075	1.0	581.4	56.54541563786008	42.04893234364892	98.594347981509	119.61881415333346	140.64328032515792	برلين ترفض ح ##s ##ول شرك +ة أميركي +ة على رخص +ة تصنيع دباب +ة " لوب ##ارد " ال+ ألماني +ة
../datasets/train_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.35	6075	1.0	615.6	60.95835390946502	45.19426659835368	106.1526205078187	128.74975380699553	151.34688710617237	برلين ترفض حصول شك +ة أميركي +ة على رص +ة تصنيع دباب +ة " ليوبارد " الا ل+ ماني +ة
../datasets/train_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.55	6075	1.0	655.0	65.31394238683127	48.33640709306877	113.65034947990004	137.81855302643442	161.98675657296883	برل ##ن تر ##a ##ض حصو { 8 شرك +ة اير ##كية m ##لى رخص +ة تصنيع دباب +ة " ليوبارد " ال+ ألماني +ة
../datasets/train_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.75	6075	1.0	706.4	69.77889711934156	51.59526689424158	121.37416401358314	147.17179746070394	172.96943090782474	برلين ت ##o ##رف ##ض ح « صول 3 شرك +ة أميركي +ة على رخص 3 تص ##ن 3 يع O ##دبا ##بة " ليوب ##رد " ال+ المان +ة
../datasets/train_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.95	6075	1.0	748.6	74.18182716049382	54.720445964428926	128.90227312492274	156.26249610713722	183.62271908935168	برلي ترفض . حول رك +ة أميركي +ة عل " خص +ة تص « ني ##ع 6 دباب +ة " ليوب ##اكد " ال+ المان ##ص +ة
../datasets/dev_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	-	-	909	2.0	180.0	46.80968096809681	27.682509178534932	74.49219014663174	88.3334447358992	102.17469932516667	ميراث ب 300 ألف دولار يقلب حيا +ة متشرد أميركي
../datasets/dev_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.15	909	2.0	190.4	49.740814081408146	29.401317116083504	79.14213119749165	93.8427897555334	108.54344831357515	ميراث صب 300 ألف دولار يقلب حيا +ة متشرد أميركي
../datasets/dev_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.35	909	2.2	200.0	53.576457645764584	31.54525035956255	85.12170800532714	100.89433318510842	116.6669583648897	ميراث 300 ألف دولار يقلب حيا +ة متشر ##m امرك ##ي
../datasets/dev_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.55	909	2.4	218.8	57.35357535753576	33.686440642926264	91.04001600046203	107.88323632192515	124.72645664338829	ميراث 300 ال دولار يقلب حي +ا متشرد أمير « ي
../datasets/dev_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.75	909	3.0	224.4	61.23322332233223	35.89207051600497	97.1252938383372	115.0713290963397	133.01736435434216	ميراث I 300 ال ##t دلا ##ر يق ##ب ب+ يا +ة م 4 شرد أميركي
../datasets/dev_PADT_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.95	909	3.0	249.2	65.21694169416942	38.11399278728177	103.33093448145118	122.38793087509207	141.44492726873295	م ##M ##يرا ##ث آب 300 ارف د ) و+ ل+ ار يس ##قلب حبا +ة م { شرد امي ##h ##كي
../datasets/dev_dar-egy_UPOS.tsv	aubmindlab/bert-base-arabertv2	-	-	350	15.0	56.0	35.84	9.53924824830852	45.37924824830852	50.14887237246278	54.91849649661704	لي +ه ل+ ما تحب حد من قلب ك يطلع واط ##ى لي +ه ل+ ما تلعب على واحد يطلع ب+ يحب ك لي +ه اللي ه يموت علي ك أنت مش ط ##ايق ه و اللي ه تموت علي ه مش ط ##ايق ك عجب ت ل ك يا زمن
../datasets/dev_dar-egy_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.15	350	15.2	60.4	37.638857142857134	10.040758271679255	47.679615414536386	52.69999455037602	57.720373686215645	لي +ه ل » ا تحب حد من قلب ك يطلع واط ##ى لي +ه لا تلعب على واحد يطلع ب+ يحب ك لي +ه اللي ه يموت علي ك أنت » م » ش ط ##ايق ه و اللي ه تموت علي ه مش 5 اي ##ق ك عجب ت ل ك يا زمن
../datasets/dev_dar-egy_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.35	350	15.2	64.0	40.14971428571429	10.765055403764142	50.91476968947843	56.2972973913605	61.67982509324257	لي +ه لم تحب حد من قلب ك يطلع واط ##ى لي 5 ل+ ما تلعب على واحد يبطل ##ع ب+ يحب +ه ك ل 0 ه اللي ه موت لي كش ات مش ط ##ايق آه و اللي a تموت علي مش ط ##ايق ك عجب ت ك يا V ##من
../datasets/dev_dar-egy_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.55	350	16.6	71.0	42.59028571428571	11.458126801376006	54.04841251566172	59.77747591634972	65.50653931703772	لي +ه ل 4 ا تح حد مهن لب ك يطلع واط ##ى ل+ m ##يه ل+ ما ) لعب على واحد يطلع ب+ يحب خ يه ا 3 ل+ الى ه موت علي ك أنت ش ط ##ايق ظ الل طه تموت عي مش ط ##ايق : عجب تخ صل يا M ##من
../datasets/dev_dar-egy_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.75	350	17.4	73.0	44.89371428571429	11.876883128123785	56.770597413838075	62.709038977899965	68.64748054196185	8 يه ل+ ما تح حد 3 ن ق ##M ##ب ي ##آل ##ع واط ##ى لي لم ##O تلع عل واد يطلع ب ##h ##حب ك لي +ه ال+ t ##لى ه 6 يموت 4 لي ان ؟ 1 ش « ط ##ايق ه a { ل+ الى ؤ تموت علي ##O ه ##ة - ش طاق ك عج 3 O A ك « ا زمن .
../datasets/dev_dar-egy_UPOS.tsv	aubmindlab/bert-base-arabertv2	add_random_noise	0.95	350	18.2	76.8	47.37885714285714	12.764331900673696	60.14318904353084	66.5253549938677	72.90752094420453	وي +ه ؤ ##ما تحب ح م قل ##ض يلع و ؟ طى يه " ما تل \ عب عى A ##واحد طلع يحب h ##ك ليق : ل+ الى ه ##e يمت عي 3 +ان +ي م 0 طاق هن و , اثل ##ى ت 3 موت » لي هس م طن ##ايق < جب ت ى ##ل ي ؟ ز { من
